0,1,2,3,4,5
173,Hayati Coffee Roaster,"4,6",Kedai Kopi,"Jl. Demangan Baru No.7, Demangan Baru, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",2024-05-22 07:25:04
172,Wistara Coffee Maguwoharjo,"4,0",Kafe,"Krodan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",2024-05-22 07:24:55
171,Sepakat Coffee,"4,6",Kedai Kopi,"Jl. Wahid hasyim No.187A dn, Ngropoh, Condongcatur, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55262",2024-05-22 07:24:47
170,Tentrem Bumi Coffee,"4,5",Kedai Kopi,"Jl. Beringin Raya, Denokan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282",2024-05-22 07:24:38
169,BjongNgopi Nologaten,"4,5",Kafe,"Jl. Nologaten, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",2024-05-22 07:24:29
168,Lemongrass Co-Working Space & Eatery Hotel Fortunagrande Seturan Yogyakarta,"4,9",Kafe,"Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",2024-05-22 07:24:21
167,Jeeva Yogyakarta,"4,5",Kedai Kopi,"Jl. Suhartono No.2, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",2024-05-22 07:24:12
166,Gemati Cafe and Space Yogyakarta,"4,7",Kedai Kopi,"Jl. Sidomukti, Tiyosan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",2024-05-22 07:24:03
165,Filosofi Kopi Jogja,"4,5",Kedai Kopi,"Jl. Pandhawa No.001/17, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",2024-05-22 07:23:55
164,Dear Sweet Cafe & Cakery,"4,7",Kafe,"Jl. Perumnas No.85, Dabag, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",2024-05-22 07:23:46
163,Punika Deli,"4,7",Kedai Kopi,"Royal Ambarrukmo Lobby, Jl. Laksda Adisucipto No.81, Ambarukmo, Caturtunggal, Depok, Yogyakarta, Special Region of Yogyakarta 55281",2024-05-22 07:23:38
162,Analog Coffee Jogja,"4,5",Kedai Kopi,"Jl. Wulung No.14, Papringan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",2024-05-22 07:23:29
161,Mato Kopi,"4,4",Kafe,"69JX+PQR, Jl. Selokan Mataram, Dabag, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",2024-05-22 07:23:20
160,Legend Coffee,"4,4",Kafe,"Jl. Abu Bakar Ali No.24-26, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",2024-05-22 07:23:11
159,Silol Kopi & Eatery,"4,4",Kafe,"Jl. Suroto, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",2024-05-22 07:23:03
158,Carney Co,"4,5",Kafe,"Jl. Garuni II, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",2024-05-22 07:22:54
157,Konkrite Coffee & Place,"4,5",Kedai Kopi,"Jl. Jatempanol, Tempel, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",2024-05-22 07:22:46
156,Sunset Coffee & Eatery,"4,6",Kedai Kopi,"Jl. Nologaten, Nologaten, Condongcatur, YK, Yogyakarta, Daerah Istimewa Yogyakarta 55281",2024-05-22 07:22:37
155,Ling Lung Kopi & Eatery,"4,4",Kafe seni,"Jl. Perumnas No.50C, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",2024-05-22 07:22:28
154,The Bean Garden Coffee and Eatery,"4,5",Kedai Kopi,"Jl. Ring Road Utara, Pugeran, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",2024-05-22 07:22:20
